title,description,photo,hours_ago
Rebels kill DR Congo governor as fighting intensifies - reports,"Conflict in eastern DR Congo's has forced 400,000 people to flee their homes this year alone, the UN says.",https://ichef.bbci.co.uk/news/480/cpsprodpb/0480/live/41a2f850-da6b-11ef-bb08-a77ffb70a682.jpg.webp,
South African president signs controversial land seizure law,Some parties in the coalition government are considering going to court to challenge the law.,https://ichef.bbci.co.uk/news/480/cpsprodpb/7315/live/f8452600-da43-11ef-9d0e-bff0478a1627.jpg.webp,
New Nigerian jihadist group declared terrorists,The Lakurawa group has been accused of attacks on top government officials and kidnapping.,https://ichef.bbci.co.uk/news/480/cpsprodpb/0480/live/41a2f850-da6b-11ef-bb08-a77ffb70a682.jpg.webp,
"Shades, sparks and snow: Africa's top shots",A selection of the week's best photos from across the African continent and beyond.,https://ichef.bbci.co.uk/news/480/cpsprodpb/f805/live/b3ac4fe0-d99a-11ef-902e-cf9b84dc1357.jpg.webp,
"Scammers using my face to con people, warns Namibia's ex-first lady",In a video message Monica Geingos warns people not to be duped into investing in fake schemes.,https://ichef.bbci.co.uk/news/480/cpsprodpb/582a/live/1f6f5b30-da38-11ef-95b0-9ba717ab19ce.jpg.webp,
South African president signs controversial land seizure law,Some parties in the coalition government are considering going to court to challenge the law.,https://ichef.bbci.co.uk/news/480/cpsprodpb/7315/live/f8452600-da43-11ef-9d0e-bff0478a1627.jpg.webp,
Abductions spark fears of a return to Kenya's dark past,"""I was scared he had come to beat me or finish me off,"" a government critic tells the BBC about his ordeal.",https://ichef.bbci.co.uk/news/480/cpsprodpb/9dfe/live/ee2789e0-d8ba-11ef-87df-d575b9a434a4.jpg.webp,
Police chief accused of Mozambique abuses sacked by new president,Bernadino Rafael denies claims he worked with criminal groups to kidnap and kill protesters.,https://ichef.bbci.co.uk/news/480/cpsprodpb/8454/live/7adc4920-d7ee-11ef-94cb-5f844ceb9e30.jpg.webp,
New Nigerian jihadist group declared terrorists,The Lakurawa group has been accused of attacks on top government officials and kidnapping.,https://ichef.bbci.co.uk/news/480/cpsprodpb/dfa9/live/a898e940-d7e9-11ef-9fd6-0be88a764111.jpg.webp,
"'We dig graves for free, like our fathers did before us'","For more than 50 years, one family has dedicated itself to caring for the biggest cemetery in Kaduna.",https://ichef.bbci.co.uk/news/480/cpsprodpb/221d/live/8b9d48a0-d7e8-11ef-94cb-5f844ceb9e30.jpg.webp,
'A living hell': Sudanese women face rape and abuse in Libya,The BBC hears about horrific violence five women experienced in Libya after fleeing war-torn Sudan.,https://ichef.bbci.co.uk/news/480/cpsprodpb/fff5/live/c77048d0-d4f7-11ef-87df-d575b9a434a4.jpg.webp,
The Muslim group that doesn't fast or perform daily prayers,The Baye Fall don't fast or perform five daily prayers - they believe hard work is the way to heaven.,https://ichef.bbci.co.uk/news/480/cpsprodpb/793d/live/6b203d30-d428-11ef-94cb-5f844ceb9e30.jpg.webp,
"Medics under siege: 'We took this photo, fearing it would be our last'",The last functioning hospital in Sudan's Darfur region has come under constant bombardment.,https://ichef.bbci.co.uk/news/480/cpsprodpb/6ac0/live/95887ae0-d362-11ef-94cb-5f844ceb9e30.jpg.webp,
"Trapped underground with decaying bodies, miners faced a dark reality",Mzwandile Mkwayi volunteered to go down into the shaft to help save the lives of scores of South African miners.,https://ichef.bbci.co.uk/news/480/cpsprodpb/948c/live/938b1650-d338-11ef-87df-d575b9a434a4.jpg.webp,
Why police baby killers are still not on trial seven years on,Seven years after Samantha Pendo's death her parents are still waiting for the trial of officers to begin.,https://ichef.bbci.co.uk/news/480/cpsprodpb/853a/live/240118c0-d74d-11ef-94cb-5f844ceb9e30.jpg.webp,
The would-be African nation in love with Donald Trump,"Somaliland hopes Donald Trump will make history by recognising it as a nation, but Somalis fear the move.",https://ichef.bbci.co.uk/news/480/cpsprodpb/df80/live/06dfd310-d98e-11ef-902e-cf9b84dc1357.jpg.webp,
Mozambique at a crossroads as new president sworn in,Daniel Chapo's legitimacy has been questioned following protests against his victory.,https://ichef.bbci.co.uk/news/480/cpsprodpb/c61f/live/02844750-d971-11ef-a5c8-1da73bd59591.jpg.webp,
Coventry aims to challenge 'status quo' at IOC,Zimbabwe's  Kirsty Coventry is aiming to become the first female president of the International Olympic Committee.,https://ichef.bbci.co.uk/news/480/cpsprodpb/6045/live/395df620-d8c9-11ef-bf89-cf1be2bb19ea.jpg.webp,
Caf says deputy leader faces no action over payments,African football's governing body says Swiss prosecutors will not bring legal charges against its secretary general Veron Mosengo-Omba.,https://ichef.bbci.co.uk/news/480/cpsprodpb/85e1/live/0271d0d0-d8ad-11ef-9fd6-0be88a764111.jpg.webp,
Man City sign Egypt forward Marmoush for £59m,"Egypt forward Omar Marmoush, the second highest scorer in the Bundesliga this season, has agreed a contract until 2029.",https://ichef.bbci.co.uk/news/480/cpsprodpb/1653/live/1ec36a40-d8b8-11ef-87df-d575b9a434a4.jpg.webp,
Man City accused of encouraging Sierra Leone's Bah to break contract,Real Valladolid accuse Manchester City of encouraging one of their players to break his contract to force through a move to the Premier League club.,https://ichef.bbci.co.uk/news/480/cpsprodpb/5e93/live/8f6485d0-d332-11ef-9fd6-0be88a764111.jpg.webp,
History-maker Ngamba eyes world title shot,"Cindy Ngamba, who will make her professional debut in London on 7 March, hopes to land a world title shot within a year.",https://ichef.bbci.co.uk/news/480/cpsprodpb/109f/live/59746690-cc2d-11ef-87df-d575b9a434a4.jpg.webp,
'Every face deserves a smile' - Adeyemi,Borussia Dortmund's Karim Adeyemi talks to BBC Sport Africa about his foundation and why he feels impelled to give back to Nigeria.,https://ichef.bbci.co.uk/news/480/cpsprodpb/78e2/live/a71e5d50-c9ea-11ef-87df-d575b9a434a4.jpg.webp,
'I never thought I could play ice hockey in Kenya',East Africa's only rink is the one place in Nairobi where temperatures fall below 9C.,https://ichef.bbci.co.uk/news/480/cpsprodpb/830c/live/e451b4c0-ca02-11ef-87df-d575b9a434a4.jpg.webp,
Africa's capoeira kids,"Capoeira, a sport mixing martial art and dance, is one of Brazil’s biggest cultural exports. Now a new generation of African children are rediscovering its appeal and African roots.",https://ichef.bbci.co.uk/ace/standard/480/cpsprodpb/4d5c/live/2f1dc4f0-becc-11ee-8685-316409d66f25.jpg.webp,
Kenya investigates space junk that fell on village,Experts are trying to figure out how a 500kg metal ring ended up crashing into Kenya.,https://ichef.bbci.co.uk/images/ic/480x270/p0fxm231.jpg.webp,
Fire devastates one of Africa's largest clothes markets,Ghana's Kantamanto market has been devastated by fire with traders urging the government to help.,https://ichef.bbci.co.uk/images/ic/480x270/p0j3k7qm.jpg.webp,
Live: World Service for Africa,Three essential stories to round off your working day. Explaining the news from Africa.,https://ichef.bbci.co.uk/ace/standard/480/cpsprodpb/ac31/live/a608a640-beca-11ee-ace0-c35c1b4f6d82.jpg.webp,
Focus on Africa Podcast,"One question to wake up to every weekday morning. One story from Africa, for Africa",No photo,No time
Africa Daily podcast,No description,No photo,No time
This is Africa,No description,No photo,No time
